layer,feature,label,f1_score,accuracy,precision,recall,main_theme,sub_theme
10,88,"Expressions of opinion, speculation, and business actions",0.745,0.6,0.731,0.76,And & Contexts,And States
10,323,Financial and temporal markers in business and economic contexts,0.897,0.831,0.842,0.96,And & Contexts,And Contexts
4,120,"Financial transactions, market activities, and investor behavior",0.913,0.84,1.0,0.84,And & Economic,And Contexts
16,357,Partial words and acronyms from company names and financial terms,0.875,0.785,0.79,0.98,And & Names,And Names
22,27,Years and dates in financial contexts,0.69,0.6,0.879,0.569,And & Contexts,Contexts And
4,157,Financial and business terms indicating market performance and investor sentiment,0.864,0.76,1.0,0.76,And & Contexts,And Performance
16,251,End of sentences in financial and stock-related statements.,0.452,0.514,0.7,0.333,Stock & And,End Sentences
10,131,"Names and titles of financial news sources, analysts, and publications",0.522,0.492,0.947,0.36,And & Contexts,And News
16,10,"Article summary structure, highlighting key details and updates",0.276,0.354,1.0,0.16,And & Contexts,And News
4,260,Financial metrics and years in financial contexts,0.674,0.554,0.789,0.588,And & Metrics,And Metrics
10,28,Financial performance and market trends indicators,0.705,0.6,0.838,0.608,And & Economic,And Performance
28,217,Common functional words and punctuation in technical and financial contexts,0.674,0.523,0.727,0.627,And & Contexts,And Words
22,326,Business interactions and customer engagement in financial contexts,0.528,0.477,0.864,0.38,And & Contexts,Contexts And
10,318,"Stock ticker symbols, company names, and financial terms",0.696,0.569,0.762,0.64,And & Names,And Names
16,362,"Financial terms, numbers, and specific actions or events",0.804,0.677,0.768,0.843,And & Contexts,And Tech
28,334,"Business relationships and transactions, focusing on specific actions and entities.",0.784,0.677,0.826,0.745,And & Contexts,And Tech
4,376,"Financial and business terms, focusing on stocks and market actions.",0.82,0.723,0.82,0.82,And & Contexts,And Performance
4,145,Business insights and strategic actions,0.711,0.6,0.8,0.64,And & Contexts,And Contexts
4,397,"Financial figures and metrics, including monetary values and percentages.",0.816,0.723,0.851,0.784,And & Contexts,And Values
28,306,"Functional words connecting actions, conditions, or relationships",0.388,0.369,0.765,0.26,And & Contexts,And Words
10,208,Titles and metadata of news articles and financial reports,0.736,0.646,0.865,0.64,And & Contexts,And News
16,152,Punctuation and transitional phrases indicating sentence structure and flow.,0.364,0.354,0.8,0.235,And & Contexts,And Punctuation
22,55,"End of sentence punctuation, specifically periods.",0.5,0.68,0.667,0.4,Sentence & Marker,Sentence End
10,393,"Indicates purpose, reason, or duration in financial or tech contexts",0.636,0.508,0.757,0.549,And & Contexts,And Tech
10,331,Common financial and business context words and punctuation,0.867,0.769,0.79,0.961,And & Contexts,And Words
22,129,"Titles, financial terms, and stock-related phrases",0.835,0.738,0.827,0.843,And & Contexts,And News
22,342,Financial and business-specific terms and actions,0.826,0.708,0.763,0.9,And & Contexts,And Tech
16,314,"Financial and business transactions, company growth, and milestones",0.86,0.769,0.807,0.92,And & Contexts,And Contexts
22,150,Financial market actions and regulatory discussions,0.713,0.615,0.838,0.62,And & Economic,And Contexts
4,234,"Financial and market-related terms, including economic indicators and company performance.",0.796,0.662,0.741,0.86,And & Economic,And Stock
16,44,"Representation of proper nouns, especially names and company names.",0.851,0.769,0.843,0.86,And & Names,And Names
28,357,S&P 500 index and stock market performance indicators,0.203,0.277,0.667,0.12,And & Economic,And Performance
28,109,Sentence termination in financial news and stock analysis.,0.263,0.378,0.625,0.167,And & Contexts,And News
10,178,"Indicating transitions, actions, or targets in financial and business contexts",0.714,0.569,0.745,0.686,And & Contexts,And Contexts
10,74,End of sentences in financial and stock-related contexts.,0.6,0.543,0.6,0.6,Stock & And,End Sentences
10,62,"Financial and business-related actions, roles, and entities",0.826,0.708,0.763,0.9,And & Contexts,And Concepts
16,107,Financial and technological trends in business news,0.925,0.86,1.0,0.86,And & Contexts,And Contexts
22,163,Financial and economic actions and contexts,0.852,0.754,0.807,0.902,And & Economic,And Economic
22,350,Common words and names in financial and tech news articles,0.752,0.615,0.745,0.76,And & Contexts,And Words
10,38,Actions and strategies in business and finance,0.737,0.615,0.778,0.7,And & Contexts,And Contexts
28,253,Actions and verbs related to business transactions and financial activities,0.614,0.477,0.711,0.54,And & Contexts,And Contexts
22,299,Opinions and expectations about financial and market conditions,0.5,0.415,0.731,0.38,And & Economic,And Contexts
22,224,Introduces specific financial or economic entities and concepts,0.674,0.569,0.806,0.58,And & Contexts,And Tech
28,139,End of sentences in financial and stock-related contexts,0.604,0.533,0.727,0.516,Stock & And,End Sentences
4,126,Definite article marking specific entities or details in financial contexts,0.667,0.585,0.9,0.529,And & Contexts,Contexts And
22,77,"Financial and business context words, often related to market performance and company actions.",0.857,0.754,0.774,0.96,And & Contexts,And Contexts
28,214,"Financial and tech company mentions, especially AI and market trends",0.714,0.569,0.745,0.686,And & Economic,And Tech
22,203,"Prepositions and articles indicating location, time, or relationships",0.246,0.338,1.0,0.14,And & Contexts,And Contexts
16,16,"Names and abbreviations of companies, financial entities, and stock market terms",0.863,0.8,0.932,0.804,And & Contexts,And Tech
4,326,Financial actions and decisions by entities and individuals,0.723,0.6,0.773,0.68,And & Contexts,And Contexts
28,144,Punctuation and transition words marking sentence boundaries and details.,0.286,0.6,0.667,0.182,And & Contexts,Sentence And
10,269,"Numerical values in financial contexts, including percentages and billions",0.595,0.538,0.917,0.44,And & Contexts,And Values
28,321,Financial market trends and economic indicators influencing stock performance,0.719,0.615,0.821,0.64,And & Economic,And Economic
22,138,Transitional phrases indicating shifts in financial contexts,0.281,0.292,0.643,0.18,And & Contexts,Contexts And
22,47,Financial market activities and economic indicators,0.78,0.662,0.78,0.78,And & Economic,And Economic
28,386,"Financial news and stock recommendations, often from The Motley Fool",0.615,0.538,0.889,0.471,And & Contexts,And News
16,20,Punctuation and common words in financial and technical contexts,0.841,0.738,0.789,0.9,And & Time,And Words
22,290,Markers of article structure and financial terminology,0.727,0.585,0.735,0.72,And & Contexts,And News
10,165,Financial and business-related terms and time periods,0.855,0.754,0.797,0.922,And & Time,Time Periods
4,186,"Numerical values in financial contexts, including percentages and years.",0.837,0.754,0.872,0.804,And & Contexts,And Values
4,82,Temporal references and content origins,0.635,0.523,0.771,0.54,And & Contexts,And Contexts
4,328,"Company names and abbreviations, especially tech and finance firms",0.742,0.646,0.846,0.66,And & Names,And Names
22,348,Actions and entities in financial and political contexts,0.826,0.708,0.763,0.9,And & Contexts,And Contexts
16,49,Speculative financial predictions and market trends,0.725,0.615,0.805,0.66,And & Economic,And Contexts
4,166,Usage and reference in technical and financial contexts,0.841,0.738,0.789,0.9,And & Contexts,And Technical
16,123,"Financial and business-related terms, often starting with \""W\",0.462,0.462,1.0,0.3,And & Contexts,And Concepts
22,336,"Financial and business sector terms, including technology, pharmaceuticals, and real estate",0.838,0.738,0.8,0.88,And & Contexts,And Contexts
22,113,Financial and technological market positions and advancements,0.846,0.754,0.83,0.863,And & Contexts,And Contexts
22,54,"Financial and economic indicators, entities, and actions",0.72,0.569,0.72,0.72,And & Economic,And Economic
28,93,End of sentences in financial and stock-related contexts.,0.571,0.486,0.545,0.6,Stock & And,End Sentences
28,135,Economic growth trends and financial performance indicators,0.791,0.708,0.878,0.72,And & Economic,And Performance
22,63,Financial and business growth metrics and potential,0.788,0.677,0.796,0.78,And & Contexts,And Contexts
22,120,Time-related financial metrics and periods in financial contexts,0.608,0.523,0.828,0.48,And & Time,Time Periods
4,47,"Financial and business terms, often related to technology and market performance.",0.829,0.708,0.754,0.92,And & Contexts,And Performance
16,195,Economic and financial performance indicators and trends,0.758,0.646,0.8,0.72,And & Economic,And Performance
10,210,Financial and business-related terms and concepts,0.796,0.662,0.741,0.86,And & Contexts,And Concepts
16,118,End of sentences in financial and stock-related contexts.,0.455,0.52,0.417,0.5,Stock & And,End Sentences
28,63,"Common function words indicating state, action, or condition",0.338,0.338,0.786,0.216,And & Contexts,And Words
4,101,"Numerical values representing financial metrics, percentages, or dates",0.723,0.646,0.909,0.6,And & Metrics,And Values
10,341,Financial dates and figures in economic contexts,0.791,0.708,0.878,0.72,And & Contexts,And Values
28,13,End of sentence or significant clause in financial contexts,0.583,0.6,0.538,0.636,Sentence & Marker,Sentence End
28,388,"Leadership, financial roles, and punctuation marks",0.761,0.662,0.833,0.7,And & Contexts,Sentence And
22,144,Sentence boundaries and concluding words,0.182,0.486,1.0,0.1,And & Contexts,Sentence And
28,299,Functional words and punctuation indicating sentence structure,0.226,0.262,0.583,0.14,And & Contexts,And Punctuation
10,187,Tech and finance entity names and concepts,0.836,0.723,0.767,0.92,And & Contexts,And Tech
10,1,Indicators of article continuation or section start,0.438,0.446,1.0,0.28,And & Contexts,And News
16,186,Introducing or referencing specific entities or concepts in text,0.755,0.631,0.771,0.74,And & Contexts,And Tech
22,14,"Financial and business terms, often related to stocks and economic indicators.",0.833,0.723,0.776,0.9,And & Contexts,And Performance
16,279,Commas introduce additional details or separate elements in a series.,0.211,0.308,1.0,0.118,And & Contexts,And Elements
16,14,Financial metrics and monetary values in business contexts,0.739,0.631,0.81,0.68,And & Metrics,And Metrics
28,154,Financial metrics and performance indicators in business contexts,0.634,0.538,0.812,0.52,And & Metrics,And Performance
4,38,"Actions, states, or transitions in financial or business contexts",0.811,0.692,0.768,0.86,And & Contexts,And States
4,370,"Financial periods, market conditions, and business cycles",0.66,0.508,0.721,0.608,And & Economic,And Contexts
22,370,"Financial and economic terms, including market trends and stock performance.",0.913,0.84,1.0,0.84,And & Economic,And Economic
22,83,"Financial and company-related terms, often in context of investment and performance.",0.826,0.708,0.776,0.882,And & Economic,And Contexts
4,23,"Financial entities and stock market indices, including S&P 500 and company names.",0.725,0.615,0.825,0.647,And & Names,And Names
28,258,"Technology and financial terms, focusing on AI, software, and market opportunities.",0.75,0.662,0.868,0.66,And & Economic,And Performance
28,394,"Economic and business-related terms, focusing on market and company performance.",0.86,0.754,0.778,0.961,And & Economic,And Concepts
28,320,Article structure and context indicators in financial/news content,0.625,0.538,0.833,0.5,And & Contexts,And News
